,GSM,title,cell_type,hours,guide,donor
CART0077_RNAseq_NgsRun1_012,"""GSM8252557""","""CD8, 0h, RHOG, CART0077_D3""",CD8,0.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_018,"""GSM8252563""","""CD4, 24h, RHOG, CART0077_D3""",CD4,24.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_024,"""GSM8252569""","""CD8, 24h, RHOG, CART0077_D3""",CD8,24.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_030,"""GSM8252575""","""CD4, 72h, RHOG, CART0077_D3""",CD4,72.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_036,"""GSM8252581""","""CD8, 72h, RHOG, CART0077_D3""",CD8,72.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_042,"""GSM8252587""","""CD4, 168h, RHOG, CART0077_D3""",CD4,168.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_048,"""GSM8252593""","""CD8, 168h, RHOG, CART0077_D3""",CD8,168.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_054,"""GSM8252599""","""CD4, 240h, RHOG, CART0077_D3""",CD4,240.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_060,"""GSM8252605""","""CD8, 240h, RHOG, CART0077_D3""",CD8,240.0,RHOG,CART0077_D3
CART0077_RNAseq_NgsRun1_005,"""GSM8252550""","""CD4, 0h, SafeHarbor, CART0077_D3""",CD4,0.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_011,"""GSM8252556""","""CD8, 0h, SafeHarbor, CART0077_D3""",CD8,0.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_017,"""GSM8252562""","""CD4, 24h, SafeHarbor, CART0077_D3""",CD4,24.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_023,"""GSM8252568""","""CD8, 24h, SafeHarbor, CART0077_D3""",CD8,24.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_029,"""GSM8252574""","""CD4, 72h, SafeHarbor, CART0077_D3""",CD4,72.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_035,"""GSM8252580""","""CD8, 72h, SafeHarbor, CART0077_D3""",CD8,72.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_041,"""GSM8252586""","""CD4, 168h, SafeHarbor, CART0077_D3""",CD4,168.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_047,"""GSM8252592""","""CD8, 168h, SafeHarbor, CART0077_D3""",CD8,168.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_053,"""GSM8252598""","""CD4, 240h, SafeHarbor, CART0077_D3""",CD4,240.0,SafeHarbor,CART0077_D3
CART0077_RNAseq_NgsRun1_059,"""GSM8252604""","""CD8, 240h, SafeHarbor, CART0077_D3""",CD8,240.0,SafeHarbor,CART0077_D3
