symbol,loading,abs_loading,delta_expr
CD38,0.05799461680122025,0.05799461680122025,-0.04594615292422688
ID3,0.05357710373673852,0.05357710373673852,0.23238233639520178
TNNT3,0.05278023137264397,0.05278023137264397,-0.10391992019293417
CCL22,0.04863845100786814,0.04863845100786814,0.675200115851454
TIE1,0.04861013997805352,0.04861013997805352,-0.09015015179712904
DENND6B,0.04634797739987048,0.04634797739987048,0.07075759000949677
EPAS1,0.04580844609949221,0.04580844609949221,0.016205597719144205
G0S2,0.04580825495690443,0.04580825495690443,0.269244986917168
GNLY,0.043893661366838886,0.043893661366838886,-0.22255485673432496
HMGB1P17,0.04334559597601265,0.04334559597601265,-0.05014692469871829
HNF1B,0.041963441283749896,0.041963441283749896,0.1298663259408419
TNXB,0.03955790236626392,0.03955790236626392,0.12610162917807788
GEM,0.039416580495849285,0.039416580495849285,-0.03607945084068609
METRNL,0.0389771985956349,0.0389771985956349,0.024004220811875143
NR5A2,0.038589646446088706,0.038589646446088706,-0.2024884613823854
SERPINE2,0.03809938128829965,0.03809938128829965,0.06133895225277586
NRP2,0.037909995005801084,0.037909995005801084,0.10564218786494983
ABTB2,0.03708424857188627,0.03708424857188627,0.11720565313365716
LAYN,0.0366697830184259,0.0366697830184259,0.025523553166606927
STX1B,0.03663543947948255,0.03663543947948255,-0.005324795005513749
RHOB,0.03637642758374878,0.03637642758374878,0.09300495660935226
ITGAX,0.03576070609963167,0.03576070609963167,-0.09111941006235824
IL1RN,0.0356374913176216,0.0356374913176216,0.16284813084618266
MYO7A,0.034967611070795816,0.034967611070795816,0.032987823681837725
ADAMTS14,0.03465412872213817,0.03465412872213817,-0.14110976929048125
