symbol,loading,abs_loading,delta_expr
PI16,-0.05251686988238034,0.05251686988238034,-0.060123396558660946
PTGDR2,-0.05102811813753242,0.05102811813753242,-0.015942335228507076
CCR5,-0.047548572839262816,0.047548572839262816,-0.26083365273125425
IL7R,-0.04493490152640851,0.04493490152640851,-0.17859359969016442
CCR2,-0.043770778138319054,0.043770778138319054,-0.27584335632057844
ZNF683,-0.04251809959220486,0.04251809959220486,0.005165564384500332
LTB,-0.041528880313425214,0.041528880313425214,-0.21245764818498003
RAP1GAP2,-0.03862060027115019,0.03862060027115019,-0.0824387628419414
CMPK2,-0.03818758317380062,0.03818758317380062,-0.019024357745912157
KLF2,-0.03796196218406796,0.03796196218406796,-0.11337393527904593
NPTX1,-0.03761451163847639,0.03761451163847639,-0.08423025991765798
AQP3,-0.03732348958220061,0.03732348958220061,-0.02323813042952283
TSPAN18,-0.03708675901639416,0.03708675901639416,-0.010527293007160488
TNFSF14,-0.03684376836415912,0.03684376836415912,-0.03041148113686898
TMEM229B,-0.036093591499725367,0.036093591499725367,-0.11669072129852887
CCL1,-0.035766492019081525,0.035766492019081525,-0.10980733151904642
LANCL2,-0.035658926384282155,0.035658926384282155,-0.08180300945569496
LINC00861,-0.03484716065059675,0.03484716065059675,0.008536750032580365
ITGA6,-0.034677864348236394,0.034677864348236394,-0.05657895164032345
KLF3,-0.03401115213766037,0.03401115213766037,0.009880595673236625
CCR1,-0.033482259776284176,0.033482259776284176,-0.12134609684163244
ARHGEF11,-0.03333861606745986,0.03333861606745986,-0.04214888102050329
PTGIS,-0.032877878458316634,0.032877878458316634,0.01810299961803219
MAP1A,-0.03281564622304551,0.03281564622304551,0.010883712629262687
RXRA,-0.03259629643783202,0.03259629643783202,-0.16752349766286778
