symbol,loading,abs_loading,delta_expr
C11orf21,-0.037985368723274696,0.037985368723274696,-0.23095636024070032
TSPAN32,-0.03627211520482897,0.03627211520482897,-0.2467348535333298
RASGRP2,-0.03529131717989025,0.03529131717989025,-0.11791518035322035
TC2N,-0.03449697122476304,0.03449697122476304,-0.2980251262378397
ADA2,-0.034083545538533516,0.034083545538533516,-0.26718957835255797
PIK3IP1,-0.03351511840650238,0.03351511840650238,-0.2016798821953376
SORL1,-0.033447282369381715,0.033447282369381715,-0.08593303463443647
CCR5,-0.03312613903673639,0.03312613903673639,-0.26083365273125425
RAB37,-0.03230620246444435,0.03230620246444435,-0.0885273522883363
MMP25,-0.03142059975076733,0.03142059975076733,-0.10108603258478954
RIPOR2,-0.03115967050538365,0.03115967050538365,-0.07194306591455923
CCR2,-0.031109648331509587,0.031109648331509587,-0.27584335632057844
LY9,-0.03096142005865234,0.03096142005865234,-0.32332168962556596
PLCH2,-0.030544359804791924,0.030544359804791924,-0.1344749193689907
GNLY,-0.03047527278060852,0.03047527278060852,-0.22255485673432496
ZBP1,-0.02982744260181935,0.02982744260181935,-0.28240077840421085
GPR15,-0.02980370845297715,0.02980370845297715,-0.21880162124511315
MIAT,-0.029541651111221322,0.029541651111221322,-0.20959180191813687
EEIG1,-0.028759894281818174,0.028759894281818174,-0.1572450367114122
KLF2,-0.028685315486674502,0.028685315486674502,-0.11337393527904593
CXCR6,-0.028300230296067826,0.028300230296067826,-0.3345879072997633
DPEP2,-0.026686454086733768,0.026686454086733768,-0.14560836188484627
NLRC3,-0.026625536928453857,0.026625536928453857,-0.14471009946666502
LTB,-0.026359064707330685,0.026359064707330685,-0.21245764818498003
PTGDR2,-0.026150382805602283,0.026150382805602283,-0.015942335228507076
SLFN5,-0.026033906940736748,0.026033906940736748,-0.1431613807161547
RCBTB2,-0.026029474648963,0.026029474648963,-0.18730309025940262
TXNIP,-0.0259850432136489,0.0259850432136489,-0.1208037489563134
LPAR6,-0.02595757841596708,0.02595757841596708,-0.11464487573009574
SAMD3,-0.02591405898393232,0.02591405898393232,-0.08884021300378286
