symbol,delta_expr
C11orf21,-0.23095636024070032
TSPAN32,-0.2467348535333298
RASGRP2,-0.11791518035322035
TC2N,-0.2980251262378397
ADA2,-0.26718957835255797
PIK3IP1,-0.2016798821953376
SORL1,-0.08593303463443647
CCR5,-0.26083365273125425
RAB37,-0.0885273522883363
MMP25,-0.10108603258478954
RIPOR2,-0.07194306591455923
CCR2,-0.27584335632057844
LY9,-0.32332168962556596
PLCH2,-0.1344749193689907
GNLY,-0.22255485673432496
ZBP1,-0.28240077840421085
GPR15,-0.21880162124511315
MIAT,-0.20959180191813687
EEIG1,-0.1572450367114122
KLF2,-0.11337393527904593
CXCR6,-0.3345879072997633
DPEP2,-0.14560836188484627
NLRC3,-0.14471009946666502
LTB,-0.21245764818498003
PTGDR2,-0.015942335228507076
