symbol,loading,abs_loading,delta_expr
CD38,0.05799461680122026,0.05799461680122026,-0.04594615292422688
ID3,0.05357710373673853,0.05357710373673853,0.23238233639520178
TNNT3,0.05278023137264397,0.05278023137264397,-0.10391992019293417
CCL22,0.048638451007868164,0.048638451007868164,0.675200115851454
TIE1,0.048610139978053524,0.048610139978053524,-0.09015015179712904
DENND6B,0.046347977399870496,0.046347977399870496,0.07075759000949677
EPAS1,0.045808446099492195,0.045808446099492195,0.016205597719144205
G0S2,0.04580825495690442,0.04580825495690442,0.269244986917168
GNLY,0.0438936613668389,0.0438936613668389,-0.22255485673432496
HMGB1P17,0.04334559597601268,0.04334559597601268,-0.05014692469871829
HNF1B,0.0419634412837499,0.0419634412837499,0.1298663259408419
TNXB,0.03955790236626392,0.03955790236626392,0.12610162917807788
GEM,0.03941658049584929,0.03941658049584929,-0.03607945084068609
METRNL,0.03897719859563489,0.03897719859563489,0.024004220811875143
NR5A2,0.0385896464460887,0.0385896464460887,-0.2024884613823854
SERPINE2,0.03809938128829965,0.03809938128829965,0.06133895225277586
NRP2,0.03790999500580109,0.03790999500580109,0.10564218786494983
ABTB2,0.03708424857188626,0.03708424857188626,0.11720565313365716
LAYN,0.0366697830184259,0.0366697830184259,0.025523553166606927
STX1B,0.03663543947948255,0.03663543947948255,-0.005324795005513749
RHOB,0.03637642758374879,0.03637642758374879,0.09300495660935226
ITGAX,0.035760706099631646,0.035760706099631646,-0.09111941006235824
IL1RN,0.035637491317621596,0.035637491317621596,0.16284813084618266
MYO7A,0.034967611070795816,0.034967611070795816,0.032987823681837725
ADAMTS14,0.03465412872213819,0.03465412872213819,-0.14110976929048125
IFITM10,0.03434480136157452,0.03434480136157452,0.10938801891175065
MMP14,0.034276608257308945,0.034276608257308945,0.10924422333770112
LAMB3,0.03413927979157615,0.03413927979157615,0.10622777385830329
MYRF,0.03409771741115895,0.03409771741115895,-0.03966495504222012
GNG8,0.03371967919639721,0.03371967919639721,0.2391362447296923
