symbol,loading,abs_loading,delta_expr
C11orf21,-0.037985368723274716,0.037985368723274716,-0.23095636024070032
TSPAN32,-0.036272115204828995,0.036272115204828995,-0.2467348535333298
RASGRP2,-0.03529131717989027,0.03529131717989027,-0.11791518035322035
TC2N,-0.03449697122476304,0.03449697122476304,-0.2980251262378397
ADA2,-0.03408354553853355,0.03408354553853355,-0.26718957835255797
PIK3IP1,-0.033515118406502405,0.033515118406502405,-0.2016798821953376
SORL1,-0.03344728236938173,0.03344728236938173,-0.08593303463443647
CCR5,-0.03312613903673642,0.03312613903673642,-0.26083365273125425
RAB37,-0.032306202464444385,0.032306202464444385,-0.0885273522883363
MMP25,-0.03142059975076735,0.03142059975076735,-0.10108603258478954
RIPOR2,-0.031159670505383655,0.031159670505383655,-0.07194306591455923
CCR2,-0.031109648331509598,0.031109648331509598,-0.27584335632057844
LY9,-0.030961420058652347,0.030961420058652347,-0.32332168962556596
PLCH2,-0.030544359804791938,0.030544359804791938,-0.1344749193689907
GNLY,-0.030475272780608537,0.030475272780608537,-0.22255485673432496
ZBP1,-0.029827442601819375,0.029827442601819375,-0.28240077840421085
GPR15,-0.029803708452977168,0.029803708452977168,-0.21880162124511315
MIAT,-0.029541651111221336,0.029541651111221336,-0.20959180191813687
EEIG1,-0.028759894281818195,0.028759894281818195,-0.1572450367114122
KLF2,-0.02868531548667452,0.02868531548667452,-0.11337393527904593
CXCR6,-0.028300230296067843,0.028300230296067843,-0.3345879072997633
DPEP2,-0.026686454086733778,0.026686454086733778,-0.14560836188484627
NLRC3,-0.026625536928453864,0.026625536928453864,-0.14471009946666502
LTB,-0.026359064707330696,0.026359064707330696,-0.21245764818498003
PTGDR2,-0.026150382805602303,0.026150382805602303,-0.015942335228507076
