,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,quadrant_PC1_PC2,GSM,title,cell_type,hours,guide,donor,effector_score,reg_score,d_eff,d_reg,dt,step_distance,speed_per_hour,angle_rad,PC_quadrant
CART0077_RNAseq_NgsRun1_001,-37.72327747554683,-31.70553849094771,-12.1236232581164,-2.744340263866308,-15.144211651992425,-9.991623527506368,-3.4129021843023546,7.700148235585184,-5.771140619055518,2.7428329720928772,-2.0439102875109603,-10.017314147297675,1.1430264610960283,-0.9093625420677728,-3.475107784305985,0.2258160094119025,2.827026832253873,0.3018706665970204,1.0097623520962509,3.6260649166197023,Q3,"""GSM8252546""","""CD4, 0h, SafeHarbor, CART0077_D1""",CD4,0.0,SafeHarbor,CART0077_D1,-1.012197615498963,0.24800895063350228,,,,,,,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_002,-39.836362876302026,-31.833348423446605,-10.90089238602024,-3.3124766711086524,-15.591511141079652,-8.81336679374536,-3.7502313204748536,9.61963683483392,-6.636605784976696,4.066675383495473,-1.9716047885849064,-6.531205478162042,-0.0232059070580842,-0.3790028382095945,-2.7645602944082177,-1.4215121093104672,3.0585805775139385,-0.1988130316658873,-1.1584500945672576,0.8544158546184156,Q3,"""GSM8252547""","""CD4, 0h, RHOG, CART0077_D1""",CD4,0.0,RHOG,CART0077_D1,-1.0488414697755732,0.43260138660517244,,,,,,,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_003,-31.63776607627113,-29.746143813339444,-17.107665663120155,-0.7233038341183783,-11.271250804310608,-9.780588215218897,12.959360536542317,-2.573609849709361,-3.644878130504407,-2.8814987135247487,0.3642301825393381,-6.581077852708363,0.4843684451348619,-2.013060776630124,6.920206557563933,3.2723205158765367,1.3779143526244544,3.038072067279994,2.8450016805041347,0.0941774719239015,Q3,"""GSM8252548""","""CD4, 0h, SafeHarbor, CART0077_D2""",CD4,0.0,SafeHarbor,CART0077_D2,-0.8474007397388064,0.053120777683884166,,,,,,,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_004,-40.14039934173828,-31.899785534799697,-12.06834262351713,-3.726442926458179,-14.29402343357007,-6.180032379641874,12.564387182238788,3.884864981840429,-7.805759372700971,2.527802443011245,-1.077855302269077,-0.6917263979208607,-0.8890210609905882,1.1106093893542015,5.16516845481285,-0.7205861329978309,-0.3222626871716175,2.7164716383976475,-4.457067828314265,-3.1412890831006517,Q3,"""GSM8252549""","""CD4, 0h, RHOG, CART0077_D2""",CD4,0.0,RHOG,CART0077_D2,-0.9961346471074439,-0.08248396173090286,,,,,,,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_005,-40.540445289319806,-32.85684694691389,-10.222355495941155,-8.728794779161785,-22.326515312887256,12.585187254434096,-1.9353154360070275,-1.5526736219334352,-10.996653202321216,2.630126722892924,-2.2411608819925086,4.938064608712349,-0.4181287496331005,-1.789088862003476,1.146515652412791,-1.3286352750091164,-2.439896052699036,-1.1861686534427538,2.0943336780348325,-0.5158219393700688,Q3,"""GSM8252550""","""CD4, 0h, SafeHarbor, CART0077_D3""",CD4,0.0,SafeHarbor,CART0077_D3,-1.177431584265696,0.6507192978618566,,,,,,,Q2: Eff- / Reg+
CART0077_RNAseq_NgsRun1_006,-42.67839370203198,-33.6806124327007,-8.490316175736124,-9.91445163281847,-23.02448729708865,13.45105571532852,-1.6451041490359846,-0.160974121243852,-12.678372882319035,4.04061922506094,-2.8001679717688117,5.247741906936122,-1.2225442926983077,-0.3345963505769981,0.944018144942613,-1.22885778442501,-3.70192544968071,-0.0150126342497585,-0.6365869638766102,-0.4645259634458285,Q3,"""GSM8252551""","""CD4, 0h, RHOG, CART0077_D3""",CD4,0.0,RHOG,CART0077_D3,-1.2267425373119605,0.716748111567066,,,,,,,Q2: Eff- / Reg+
CART0077_RNAseq_NgsRun1_007,-31.642211648404583,-32.175578005956446,-29.17796868371653,1.4262029774661291,10.986252369828874,-5.465948541321624,-7.172648572502677,6.037853367640824,9.125841106770444,-1.136034873484587,1.1350227208317916,-3.75623121364219,0.2052163261611626,1.11080266766171,-3.5972761612371618,0.3121187045971929,0.862791763304599,-0.6901627574827593,3.4656383207193473,1.2643214376563596,Q3,"""GSM8252552""","""CD8, 0h, SafeHarbor, CART0077_D1""",CD8,0.0,SafeHarbor,CART0077_D1,0.5448802312919947,-0.22634419580036588,1.5570778467909576,-0.47435314643386817,0.0,1.6277291938461003,,-0.29571112997157567,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_008,-32.65828821589458,-31.931318683130183,-28.74690190501142,0.3829259082767261,10.45164747540921,-5.020971585179704,-7.247643797535273,6.650944081771057,8.675373896771184,1.1835117200837684,-0.2637665073892033,-2.782225147741516,0.5173133544671764,0.6310774805659289,-4.151155490211934,-0.5971579071754484,1.714987008236693,-2.1524604393122018,0.4957458920932838,0.2967915175382601,Q3,"""GSM8252553""","""CD8, 0h, RHOG, CART0077_D1""",CD8,0.0,RHOG,CART0077_D1,0.4983521666323271,-0.17981469292114133,1.5471936364079004,-0.6124160795263138,0.0,1.663989664331928,,-0.37690103674384023,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_009,-29.26579691895544,-30.783134775773824,-31.71479402463257,2.0110333157521367,12.715442856315857,-5.01825039652398,9.143010219542656,-2.1864710701117276,9.588445217691833,-5.51469844731678,4.430138478191537,-0.5080514092075267,-1.042507355589785,0.7119143608071726,5.357102122042575,1.6053053795421284,2.179176343523129,2.791499667669891,1.2392208157898688,-2.3341993927028377,Q3,"""GSM8252554""","""CD8, 0h, SafeHarbor, CART0077_D2""",CD8,0.0,SafeHarbor,CART0077_D2,0.5568095958709439,-0.0003710348992325141,1.4042103356097502,-0.05349181258311668,0.0,1.4052288214545967,,-0.038075464174484756,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_010,-33.2799297109673,-31.734185501312098,-30.53841513097168,-0.4025077058064942,10.227789184206872,-3.5163701848613043,8.91522485889397,1.6184289147675048,7.885990949119802,-1.4757860622480088,3.291892891481989,4.070739556547769,-0.2174884906142989,1.9533775781161975,4.311736493279216,-2.3508344673152872,0.7682971962792722,0.8058070578860317,-3.9569886907845535,-4.678863672358189,Q3,"""GSM8252555""","""CD8, 0h, RHOG, CART0077_D2""",CD8,0.0,RHOG,CART0077_D2,0.4521428717352552,0.11065514734536527,1.448277518842699,0.19313910907626813,0.0,1.461099068181189,,0.13257557516666935,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_011,-34.95982081369544,-33.26641165134274,-26.894207728972884,-5.324513040453626,2.422531636242047,15.663173885312988,-4.843905087547353,-3.722877295856631,5.572557827215432,-0.8000863967973608,-1.4857632483673626,7.119958448143015,0.4700261563357762,-0.2399063247207822,-4.395993860832653,1.3250906744923765,-4.306829619093328,-1.9149765067128293,0.3284102061039988,2.40253729362161,Q3,"""GSM8252556""","""CD8, 0h, SafeHarbor, CART0077_D3""",CD8,0.0,SafeHarbor,CART0077_D3,0.3590849771254604,0.5077931384217416,1.5365165613911564,-0.142926159440115,0.0,1.5431497109747987,,-0.09275269799881679,Q1: Eff+ / Reg+
CART0077_RNAseq_NgsRun1_012,-35.48366272447147,-33.7217815200187,-27.319055217474343,-5.743220897269467,1.968060319502704,15.806412138589916,-4.887628993769562,-3.348327191291294,4.926141461104552,-0.0850560948038327,-1.9245832011404351,7.646852164688704,0.6007010726866108,-0.2990005410331842,-4.033005211489397,1.535674897725449,-2.776903998940894,-1.7100450972551484,-1.093347069953497,2.3450778432004133,Q3,"""GSM8252557""","""CD8, 0h, RHOG, CART0077_D3""",CD8,0.0,RHOG,CART0077_D3,0.2978520690642664,0.1614354489994991,1.524594606376227,-0.5553126625675668,0.0,1.6225784625093984,,-0.3493007514959104,Q1: Eff+ / Reg+
