sample_id,GSM,title,cell_type,hours,guide,donor,IL-2/STAT5 Signaling,Interferon Alpha Response,Interferon Gamma Response,Inflammatory Response,Apoptosis,E2F Targets,Oxidative Phosphorylation,PC1,PC2
CART0077_RNAseq_NgsRun1_021,"""GSM8252566""","""CD8, 24h, SafeHarbor, CART0077_D2""",CD8,24,SafeHarbor,CART0077_D2,3.7187141638116437,3.510694737925226,3.556935890716451,2.8401688144139907,3.6192068455137956,4.570083102797313,4.137038180722733,72.20839550614295,-14.05145244585446
CART0077_RNAseq_NgsRun1_022,"""GSM8252567""","""CD8, 24h, RHOG, CART0077_D2""",CD8,24,RHOG,CART0077_D2,3.7179507465791635,3.5074345947333665,3.5337847548040062,2.8273816801444824,3.6184402440642343,4.580862803695975,4.147591448660066,73.44577009150579,-14.341901128729752
CART0077_RNAseq_NgsRun1_023,"""GSM8252568""","""CD8, 24h, SafeHarbor, CART0077_D3""",CD8,24,SafeHarbor,CART0077_D3,3.687975018603133,3.582952589696673,3.5743638923191234,2.883582494985553,3.6312746088926757,4.557980336671244,4.141835372863038,78.87397022258375,-16.049823489452137
CART0077_RNAseq_NgsRun1_024,"""GSM8252569""","""CD8, 24h, RHOG, CART0077_D3""",CD8,24,RHOG,CART0077_D3,3.6777815445348314,3.555208980356497,3.5476043929256607,2.859008664983486,3.623913572338453,4.574395498989188,4.146655101612887,77.82991169506477,-15.830286885385362
CART0077_RNAseq_NgsRun1_025,"""GSM8252570""","""CD4, 72h, SafeHarbor, CART0077_D1""",CD4,72,SafeHarbor,CART0077_D1,3.5765923161825253,3.316407324647877,3.3991333099625773,2.46312819798442,3.546858615159511,4.7062082343380975,4.166459904789216,15.71350387555196,22.691584250002162
CART0077_RNAseq_NgsRun1_026,"""GSM8252571""","""CD4, 72h, RHOG, CART0077_D1""",CD4,72,RHOG,CART0077_D1,3.5755115833726645,3.2893582744452523,3.391159992344482,2.4413292984412984,3.5402842458552923,4.743679971065301,4.177551442840705,20.17432549483982,19.392334628176283
CART0077_RNAseq_NgsRun1_027,"""GSM8252572""","""CD4, 72h, SafeHarbor, CART0077_D2""",CD4,72,SafeHarbor,CART0077_D2,3.6463573530375646,3.456732842949718,3.541088477373087,2.6279418991554553,3.606496750317691,4.716534180843627,4.153020393731432,25.889204835252926,20.9869055476275
CART0077_RNAseq_NgsRun1_028,"""GSM8252573""","""CD4, 72h, RHOG, CART0077_D2""",CD4,72,RHOG,CART0077_D2,3.6840153299012086,3.4487387998862835,3.5242351450204845,2.6703321520218823,3.6269604173628727,4.705278353175177,4.165131736244906,36.80604589369136,18.30018578551869
CART0077_RNAseq_NgsRun1_029,"""GSM8252574""","""CD4, 72h, SafeHarbor, CART0077_D3""",CD4,72,SafeHarbor,CART0077_D3,3.6709784930712726,3.548771194402724,3.580376780880858,2.7010356015863772,3.6455613370240236,4.700795253784667,4.147618948236755,36.91748864344514,19.66264406424621
CART0077_RNAseq_NgsRun1_030,"""GSM8252575""","""CD4, 72h, RHOG, CART0077_D3""",CD4,72,RHOG,CART0077_D3,3.7018598319518827,3.6200114229828353,3.6161148764619964,2.736902417005157,3.691964982870733,4.660631558303842,4.141377090161742,42.542061080408494,18.89272219184378
CART0077_RNAseq_NgsRun1_031,"""GSM8252576""","""CD8, 72h, SafeHarbor, CART0077_D1""",CD8,72,SafeHarbor,CART0077_D1,3.599538681993018,3.3758285819301586,3.4978551852221518,2.5011631482691064,3.5899879763742804,4.705861548183809,4.170147187176983,20.088029924756036,20.048153031736383
CART0077_RNAseq_NgsRun1_032,"""GSM8252577""","""CD8, 72h, RHOG, CART0077_D1""",CD8,72,RHOG,CART0077_D1,3.67517656982461,3.4709739464203815,3.5588097058617785,2.6679620945391718,3.6565057242496692,4.68413184455067,4.1684179080639066,38.269911309411135,16.55173054542995
CART0077_RNAseq_NgsRun1_033,"""GSM8252578""","""CD8, 72h, SafeHarbor, CART0077_D2""",CD8,72,SafeHarbor,CART0077_D2,3.6631339184371368,3.5117720243657233,3.6178458734154186,2.650841260801369,3.6622317541665153,4.716608270748579,4.184506220855502,31.130227028110657,16.925402893401646
CART0077_RNAseq_NgsRun1_034,"""GSM8252579""","""CD8, 72h, RHOG, CART0077_D2""",CD8,72,RHOG,CART0077_D2,3.7286203834052625,3.6527100022455534,3.687211655821198,2.807878409729754,3.710156992682875,4.6687574958074105,4.170653934296001,50.446893582842385,13.386274429059993
CART0077_RNAseq_NgsRun1_035,"""GSM8252580""","""CD8, 72h, SafeHarbor, CART0077_D3""",CD8,72,SafeHarbor,CART0077_D3,3.754501384118187,3.698926708046506,3.7251364086924004,2.846648613846749,3.7499064095099057,4.646001066843507,4.125634686491858,50.051161883467444,15.695270543620783
CART0077_RNAseq_NgsRun1_036,"""GSM8252581""","""CD8, 72h, RHOG, CART0077_D3""",CD8,72,RHOG,CART0077_D3,3.733532435977028,3.7323153948555965,3.725418019765761,2.8091065046712824,3.744406406262577,4.647622386744826,4.1338556552345604,51.019448355684474,14.6797833458936
CART0077_RNAseq_NgsRun1_037,"""GSM8252582""","""CD4, 168h, SafeHarbor, CART0077_D1""",CD4,168,SafeHarbor,CART0077_D1,3.203443651947289,3.4558919704620865,3.3804657489817687,2.1970446520800704,3.4395519184063774,4.089807280380926,4.0135934099354715,-28.287477325017036,39.0628800448826
CART0077_RNAseq_NgsRun1_038,"""GSM8252583""","""CD4, 168h, RHOG, CART0077_D1""",CD4,168,RHOG,CART0077_D1,3.1957842406565544,3.4180913195378104,3.35687793396676,2.1807787617558576,3.430744737327352,4.097271932751439,4.042471009333281,-26.771653253111236,40.34819581393633
CART0077_RNAseq_NgsRun1_039,"""GSM8252584""","""CD4, 168h, SafeHarbor, CART0077_D2""",CD4,168,SafeHarbor,CART0077_D2,3.202093448650659,3.419286145083112,3.3929519488133817,2.220466458650274,3.417363810280255,4.359286496764169,4.019841644727246,-29.53538880692621,37.048965322157606
CART0077_RNAseq_NgsRun1_040,"""GSM8252585""","""CD4, 168h, RHOG, CART0077_D2""",CD4,168,RHOG,CART0077_D2,3.1885725350057164,3.337973080617007,3.310116154226142,2.191033203244725,3.4133964078457693,4.374217081034249,4.076307799364651,-23.02580659087997,43.27984342088641
CART0077_RNAseq_NgsRun1_041,"""GSM8252586""","""CD4, 168h, SafeHarbor, CART0077_D3""",CD4,168,SafeHarbor,CART0077_D3,3.2578838708781994,3.61821024233244,3.5021314399308046,2.2717025818344987,3.484244869066918,4.176527865005147,4.048198361113916,-26.835758010013844,38.44484036839651
CART0077_RNAseq_NgsRun1_042,"""GSM8252587""","""CD4, 168h, RHOG, CART0077_D3""",CD4,168,RHOG,CART0077_D3,3.3214481974649708,3.5416468577096927,3.492756727839929,2.2829303812909556,3.504476862652659,4.3695054365287955,4.078914276311726,-19.032208747528777,39.75294416143013
CART0077_RNAseq_NgsRun1_043,"""GSM8252588""","""CD8, 168h, SafeHarbor, CART0077_D1""",CD8,168,SafeHarbor,CART0077_D1,3.186641170080985,3.427913055436244,3.4450181571578002,2.136489321597738,3.4454402758703195,4.164138550722006,4.006605984677253,-30.871424673131905,36.853331862032974
CART0077_RNAseq_NgsRun1_044,"""GSM8252589""","""CD8, 168h, RHOG, CART0077_D1""",CD8,168,RHOG,CART0077_D1,3.165551618558923,3.420749683974216,3.4210122035651076,2.106235669780203,3.4286898568248274,4.201191725551515,4.044126743628495,-28.711560539454176,38.18184191438455
CART0077_RNAseq_NgsRun1_045,"""GSM8252590""","""CD8, 168h, SafeHarbor, CART0077_D2""",CD8,168,SafeHarbor,CART0077_D2,3.160395740277434,3.4112227549486756,3.4549507651036198,2.135962150809108,3.412282926924628,4.361244266422685,3.99443863379237,-33.7171942878027,34.93598383386916
CART0077_RNAseq_NgsRun1_046,"""GSM8252591""","""CD8, 168h, RHOG, CART0077_D2""",CD8,168,RHOG,CART0077_D2,3.1252964304064363,3.316911612967922,3.349230743028585,2.075926318362351,3.3724279896867584,4.438977178262943,4.099128602336856,-26.650510040200537,41.18178041396844
CART0077_RNAseq_NgsRun1_047,"""GSM8252592""","""CD8, 168h, SafeHarbor, CART0077_D3""",CD8,168,SafeHarbor,CART0077_D3,3.1905113190777588,3.520517760823581,3.501968975126555,2.1649422505568583,3.461313543624432,4.315257127289445,3.9779802347201247,-31.867859273649174,34.412970384515866
CART0077_RNAseq_NgsRun1_048,"""GSM8252593""","""CD8, 168h, RHOG, CART0077_D3""",CD8,168,RHOG,CART0077_D3,3.2510282178801493,3.4766392770599808,3.499406448649018,2.1690175977085797,3.4776548002910124,4.477920494527757,4.037078247735716,-25.367101141774203,36.58168104967852
CART0077_RNAseq_NgsRun1_049,"""GSM8252594""","""CD4, 240h, SafeHarbor, CART0077_D1""",CD4,240,SafeHarbor,CART0077_D1,3.231638005037109,3.9418791595536065,3.7023589039493494,2.294500106416332,3.4294348270331545,3.54256734902922,3.8382603105062714,-47.7220328278961,-11.6410648150327
CART0077_RNAseq_NgsRun1_050,"""GSM8252595""","""CD4, 240h, RHOG, CART0077_D1""",CD4,240,RHOG,CART0077_D1,3.179935259681144,3.9914614641965795,3.705163603160683,2.265273664242622,3.388274404701322,3.5304169667070595,3.8408596743073335,-49.73735068743017,-13.512025663319626
CART0077_RNAseq_NgsRun1_051,"""GSM8252596""","""CD4, 240h, SafeHarbor, CART0077_D2""",CD4,240,SafeHarbor,CART0077_D2,3.243660065865291,3.8028906434817245,3.6370624144924686,2.322108715837703,3.465462027039847,3.944825752265404,3.884027156916577,-43.78619620482272,-8.200076036478581
CART0077_RNAseq_NgsRun1_052,"""GSM8252597""","""CD4, 240h, RHOG, CART0077_D2""",CD4,240,RHOG,CART0077_D2,3.3072214424029003,3.807999566873929,3.6635866606671468,2.3524402178069783,3.503814162977794,4.070978345834644,3.9434486832102476,-38.76827487552787,-5.569048132658246
CART0077_RNAseq_NgsRun1_053,"""GSM8252598""","""CD4, 240h, SafeHarbor, CART0077_D3""",CD4,240,SafeHarbor,CART0077_D3,3.204628708185714,3.7507517145897813,3.5894312806323687,2.2622310203551836,3.3910893916836415,3.709672088235759,3.8670411447798942,-46.56339217769579,-13.663977765404526
CART0077_RNAseq_NgsRun1_054,"""GSM8252599""","""CD4, 240h, RHOG, CART0077_D3""",CD4,240,RHOG,CART0077_D3,3.2592216178416566,3.7598820319366633,3.620654917025801,2.312123143831381,3.4283470079520937,3.824879575223627,3.885554611607404,-42.418652708769365,-12.024508523643632
CART0077_RNAseq_NgsRun1_055,"""GSM8252600""","""CD8, 240h, SafeHarbor, CART0077_D1""",CD8,240,SafeHarbor,CART0077_D1,3.2056931492683822,3.8256636688562105,3.6814704833225926,2.2316655568894608,3.440965132923746,3.7437868804342838,3.8227373821589192,-48.51739801626057,-9.55072125164242
CART0077_RNAseq_NgsRun1_056,"""GSM8252601""","""CD8, 240h, RHOG, CART0077_D1""",CD8,240,RHOG,CART0077_D1,3.19050348331947,3.897768181487704,3.711077621681821,2.2118021225838222,3.41577419260598,3.6746712195442357,3.8344357216937848,-49.32506245107517,-12.058620665476797
CART0077_RNAseq_NgsRun1_057,"""GSM8252602""","""CD8, 240h, SafeHarbor, CART0077_D2""",CD8,240,SafeHarbor,CART0077_D2,3.220365320116137,3.752031892877509,3.6668226084987907,2.239897890839741,3.444924417057455,4.026065893897084,3.861670904962359,-44.82103633607149,-6.786026995008867
CART0077_RNAseq_NgsRun1_058,"""GSM8252603""","""CD8, 240h, RHOG, CART0077_D2""",CD8,240,RHOG,CART0077_D2,3.2951963630408967,3.742669208961836,3.6793359037378637,2.2868053462380886,3.4834788454114203,4.208322674707807,3.933197492561951,-37.72873456384698,-3.5419924249046906
CART0077_RNAseq_NgsRun1_059,"""GSM8252604""","""CD8, 240h, SafeHarbor, CART0077_D3""",CD8,240,SafeHarbor,CART0077_D3,3.1704288536138683,3.7637508508480235,3.6463161310220658,2.200151833667294,3.411028981846139,3.8268902778622387,3.8289468801616784,-47.76325528037883,-10.45334577509914
CART0077_RNAseq_NgsRun1_060,"""GSM8252605""","""CD8, 240h, RHOG, CART0077_D3""",CD8,240,RHOG,CART0077_D3,3.212568598937019,3.7140941476087495,3.640211588347148,2.232502352555063,3.4493572445774547,3.9657353766367858,3.844542567953283,-43.69107193626057,-9.070553608316908
