Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,KRAS Signaling Dn,21/200,0.7568072009818709,0.9957989486603566,0,0,0.8703112529928172,0.2425093988714407,RYR1;KCND1;SLC30A3;PLAG1;CD80;COPZ2;LYPD3;YBX2;CACNA1F;THNSL2;NR4A2;CCNA1;SNN;FGGY;STAG3;MYO15A;CCR8;SGK1;SKIL;CHST2;GPR19
MSigDB_Hallmark_2020,DNA Repair,15/150,0.7957185709193146,0.9999956303543156,0,0,0.8242389972669871,0.1883466140500666,GPX4;MPG;PDE6G;DCTN4;NME3;VPS37B;ADCY6;RAD52;POLD4;RRM2B;NFX1;IMPDH2;POLR1D;CCNO;GSDME
MSigDB_Hallmark_2020,mTORC1 Signaling,20/200,0.8229199559228193,0.9999956303543156,0,0,0.8238655144732493,0.1605683750197337,STARD4;SHMT2;INSIG1;IDH1;FGL2;ASNS;VLDLR;ACACA;SYTL2;GGA2;SQLE;P4HA1;MTHFD2;SCD;CTH;DDIT4;SERPINH1;DHCR7;SQSTM1;FADS1
MSigDB_Hallmark_2020,Mitotic Spindle,18/199,0.9151687527446756,0.9999956303543156,0,0,0.7367139388394272,0.0653073342856462,TRIO;ARHGEF12;DST;MID1IP1;ARAP3;SHROOM1;ARHGAP5;CLIP2;ARHGAP10;MYO1E;BCL2L11;RASA1;FSCN1;CDC42EP1;ATG4B;ARHGEF2;RAB3GAP1;BCAR1
MSigDB_Hallmark_2020,Pancreas Beta Cells,2/40,0.9592955089731112,0.9999956303543156,0,0,0.3904415192346112,0.0162252302283021,VDR;AKT3
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,7/105,0.9724663437608756,0.9999956303543156,0,0,0.5291933341383891,0.0147749784253375,VAV3;MAPK8;CDKN1B;FASLG;SQSTM1;ACACA;TNFRSF1A
MSigDB_Hallmark_2020,Spermatogenesis,9/135,0.9839122014269368,0.9999956303543156,0,0,0.5287950205462896,0.0085763213201929,CCNA1;ARL4A;DDX4;GFI1;GAD1;YBX2;ACRBP;PCSK4;MLF1
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,2/49,0.9844925650062508,0.9999956303543156,0,0,0.3155145956908388,0.0049311564708968,GPX4;JUNB
MSigDB_Hallmark_2020,Myc Targets V2,2/58,0.9942442800770404,0.9999956303543156,0,0,0.2646713261432789,0.0015277749772557,DUSP2;MAP3K6
MSigDB_Hallmark_2020,Oxidative Phosphorylation,12/200,0.9982330253561764,0.9999956303543156,0,0,0.4714644894428073,0.0008338026695295726,OXA1L;ALDH6A1;ACADVL;GPX4;ABCB7;COX15;IDH1;ECH1;PDK4;ATP5MC2;TCIRG1;NDUFV2
MSigDB_Hallmark_2020,Myc Targets V1,6/200,0.9999943180853988,0.9999956303543156,0,0,0.2277840931362941,1.294253441648856e-06,IMPDH2;RPLP0;RPS3;NAP1L1;PABPC1;RPS2
MSigDB_Hallmark_2020,G2-M Checkpoint,4/200,0.9999956303543156,0.9999956303543156,0,0,0.1501623866093503,6.561578581796368e-07,H2BC12;SQLE;CDKN1B;CCND1
MSigDB_Hallmark_2020,E2F Targets,4/200,0.9999956303543156,0.9999956303543156,0,0,0.1501623866093503,6.561578581796368e-07,PAN2;CDKN1B;MTHFD2;NAP1L1
