Pathway,corr_PC1,corr_PC2
IL-2/STAT5 Signaling,0.9492224604059661,-0.021960902194111967
Interferon Alpha Response,-0.4873901876065881,-0.647591655568505
Interferon Gamma Response,-0.14822154838693938,-0.5498631565304842
Inflammatory Response,0.9589989274188434,-0.0949394397183894
Apoptosis,0.8916601113094023,0.13012490775203428
E2F Targets,0.6819675589096806,0.03559020652771973
Oxidative Phosphorylation,0.8336820539740979,0.19400914374514422
